2001,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2002,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2003,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2004,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2005,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2006,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2007,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2008,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
2009,1011,1011,1011,1011,1011,1011,1011,1011,1006,1010,1009,1014
2010,1014,1013,1011,1009,1005,1005,1005,1005,1007,1007,1010,1009
2011,1012,1012,1011,1008,1006,1004,1004,1005,1007,1009,1011,1012
2012,1013,1012,1010,1009,1005,1004,1005,1006,1007,1010,1011,1013
2013,1015,1013,1012,1008,1005,1004,1004,1006,1007,1008,1012,1013
2014,1015,1013,1013,1010,1007,1004,1005,1006,1008,1010,1012,1013
2015,1015,1014,1013,1010,1007,1005,1006,1007,1008,1011,1011,1014
2016,1015,1014,1012,1009,1006,1005,1006,1006,1007,1009,1012,1012
